service id,hora,origen,tipo,hora,destino,tipo,demanda (pax)
0,285,Retiro,D,309,Tigre,A,1124
1,441,Tigre,D,465,Retiro,A,857
2,538,Retiro,D,562,Tigre,A,840
3,653,Tigre,D,677,Retiro,A,793
4,756,Retiro,D,780,Tigre,A,768
5,904,Tigre,D,928,Retiro,A,908
6,1043,Retiro,D,1067,Tigre,A,1287
7,1133,Tigre,D,1157,Retiro,A,1076
8,1274,Retiro,D,1298,Tigre,A,870
9,1365,Tigre,D,1389,Retiro,A,1384
10,1501,Retiro,D,1525,Tigre,A,1188
11,1626,Tigre,D,1650,Retiro,A,867
12,1731,Retiro,D,1755,Tigre,A,1247
13,1861,Tigre,D,1885,Retiro,A,983
14,1997,Retiro,D,2021,Tigre,A,1176
15,2080,Tigre,D,2104,Retiro,A,1054
16,2233,Retiro,D,2257,Tigre,A,890
17,2349,Tigre,D,2373,Retiro,A,710
18,2457,Retiro,D,2481,Tigre,A,786
19,2591,Tigre,D,2615,Retiro,A,807
20,2710,Retiro,D,2734,Tigre,A,884
21,2838,Tigre,D,2862,Retiro,A,898
22,2925,Retiro,D,2949,Tigre,A,835
23,3062,Tigre,D,3086,Retiro,A,895
24,3207,Retiro,D,3231,Tigre,A,1079
25,3326,Tigre,D,3350,Retiro,A,976
26,3397,Retiro,D,3421,Tigre,A,1180
27,3550,Tigre,D,3574,Retiro,A,1199
28,3668,Retiro,D,3692,Tigre,A,1068
29,3787,Tigre,D,3811,Retiro,A,898
30,3923,Retiro,D,3947,Tigre,A,861
31,4025,Tigre,D,4049,Retiro,A,983
32,4168,Retiro,D,4192,Tigre,A,822
33,4239,Tigre,D,4263,Retiro,A,1535
34,4406,Retiro,D,4430,Tigre,A,791
35,4516,Tigre,D,4540,Retiro,A,1010
36,4618,Retiro,D,4642,Tigre,A,1102
37,4721,Tigre,D,4745,Retiro,A,1066
38,4850,Retiro,D,4874,Tigre,A,943
39,4951,Tigre,D,4975,Retiro,A,1245
40,5113,Retiro,D,5137,Tigre,A,1071
41,5231,Tigre,D,5255,Retiro,A,922
42,5354,Retiro,D,5378,Tigre,A,1046
43,5468,Tigre,D,5492,Retiro,A,865
44,5585,Retiro,D,5609,Tigre,A,730
45,5694,Tigre,D,5718,Retiro,A,1090
46,5832,Retiro,D,5856,Tigre,A,1259
47,5954,Tigre,D,5978,Retiro,A,1118
48,6043,Retiro,D,6067,Tigre,A,766
49,6196,Tigre,D,6220,Retiro,A,626
50,6295,Retiro,D,6319,Tigre,A,903
51,6429,Tigre,D,6453,Retiro,A,991
52,6547,Retiro,D,6571,Tigre,A,873
53,6666,Tigre,D,6690,Retiro,A,680
54,6804,Retiro,D,6828,Tigre,A,992
55,6929,Tigre,D,6953,Retiro,A,1777
56,7033,Retiro,D,7057,Tigre,A,885
57,7147,Tigre,D,7171,Retiro,A,1228
58,7261,Retiro,D,7285,Tigre,A,1353
59,7394,Tigre,D,7418,Retiro,A,1125
60,7489,Retiro,D,7513,Tigre,A,686
61,7629,Tigre,D,7653,Retiro,A,948
62,7751,Retiro,D,7775,Tigre,A,754
63,7838,Tigre,D,7862,Retiro,A,915
64,7983,Retiro,D,8007,Tigre,A,1141
65,8110,Tigre,D,8134,Retiro,A,833
66,8220,Retiro,D,8244,Tigre,A,851
67,8331,Tigre,D,8355,Retiro,A,1259
