service id,hora,origen,tipo,hora,destino,tipo,demanda (pax)
0,317,Retiro,D,341,Tigre,A,1124
1,427,Tigre,D,451,Retiro,A,734
2,524,Retiro,D,548,Tigre,A,1101
3,646,Tigre,D,670,Retiro,A,953
4,771,Retiro,D,795,Tigre,A,971
5,902,Tigre,D,926,Retiro,A,936
6,996,Retiro,D,1020,Tigre,A,1054
7,1161,Tigre,D,1185,Retiro,A,1261
8,1256,Retiro,D,1280,Tigre,A,1038
9,1370,Tigre,D,1394,Retiro,A,1206
10,1483,Retiro,D,1507,Tigre,A,1022
11,1639,Tigre,D,1663,Retiro,A,992
12,1745,Retiro,D,1769,Tigre,A,1701
13,1845,Tigre,D,1869,Retiro,A,851
14,1994,Retiro,D,2018,Tigre,A,981
15,2119,Tigre,D,2143,Retiro,A,854
16,2219,Retiro,D,2243,Tigre,A,866
17,2311,Tigre,D,2335,Retiro,A,943
18,2436,Retiro,D,2460,Tigre,A,889
19,2589,Tigre,D,2613,Retiro,A,853
20,2697,Retiro,D,2721,Tigre,A,753
21,2817,Tigre,D,2841,Retiro,A,1054
22,2943,Retiro,D,2967,Tigre,A,774
23,3073,Tigre,D,3097,Retiro,A,1407
24,3171,Retiro,D,3195,Tigre,A,1083
25,3309,Tigre,D,3333,Retiro,A,1090
26,3449,Retiro,D,3473,Tigre,A,1082
27,3550,Tigre,D,3574,Retiro,A,865
28,3684,Retiro,D,3708,Tigre,A,1581
29,3781,Tigre,D,3805,Retiro,A,1073
30,3917,Retiro,D,3941,Tigre,A,1360
31,3997,Tigre,D,4021,Retiro,A,1356
32,4154,Retiro,D,4178,Tigre,A,1081
33,4278,Tigre,D,4302,Retiro,A,1595
34,4399,Retiro,D,4423,Tigre,A,1074
35,4521,Tigre,D,4545,Retiro,A,712
36,4624,Retiro,D,4648,Tigre,A,1133
37,4712,Tigre,D,4736,Retiro,A,1264
38,4864,Retiro,D,4888,Tigre,A,1185
39,4950,Tigre,D,4974,Retiro,A,1096
40,5114,Retiro,D,5138,Tigre,A,907
41,5247,Tigre,D,5271,Retiro,A,772
42,5342,Retiro,D,5366,Tigre,A,1134
43,5474,Tigre,D,5498,Retiro,A,1094
44,5552,Retiro,D,5576,Tigre,A,1044
45,5681,Tigre,D,5705,Retiro,A,1098
46,5839,Retiro,D,5863,Tigre,A,1087
47,5934,Tigre,D,5958,Retiro,A,1263
