service id,hora,origen,tipo,hora,destino,tipo,demanda (pax)
0,285,Retiro,D,309,Tigre,A,852
1,442,Tigre,D,466,Retiro,A,780
2,538,Retiro,D,562,Tigre,A,847
3,670,Tigre,D,694,Retiro,A,831
4,801,Retiro,D,825,Tigre,A,1402
5,916,Tigre,D,940,Retiro,A,1163
6,1018,Retiro,D,1042,Tigre,A,1012
7,1128,Tigre,D,1152,Retiro,A,967
8,1232,Retiro,D,1256,Tigre,A,668
9,1393,Tigre,D,1417,Retiro,A,735
10,1494,Retiro,D,1518,Tigre,A,775
11,1596,Tigre,D,1620,Retiro,A,1025
12,1755,Retiro,D,1779,Tigre,A,727
13,1833,Tigre,D,1857,Retiro,A,1098
14,2003,Retiro,D,2027,Tigre,A,1283
15,2083,Tigre,D,2107,Retiro,A,1211
16,2207,Retiro,D,2231,Tigre,A,1278
17,2366,Tigre,D,2390,Retiro,A,1047
18,2479,Retiro,D,2503,Tigre,A,826
19,2559,Tigre,D,2583,Retiro,A,1065
20,2698,Retiro,D,2722,Tigre,A,684
21,2836,Tigre,D,2860,Retiro,A,1160
22,2917,Retiro,D,2941,Tigre,A,649
23,3070,Tigre,D,3094,Retiro,A,1073
24,3161,Retiro,D,3185,Tigre,A,819
25,3317,Tigre,D,3341,Retiro,A,933
26,3439,Retiro,D,3463,Tigre,A,1113
27,3536,Tigre,D,3560,Retiro,A,914
28,3686,Retiro,D,3710,Tigre,A,1235
29,3788,Tigre,D,3812,Retiro,A,1297
30,3884,Retiro,D,3908,Tigre,A,1233
31,4018,Tigre,D,4042,Retiro,A,1128
32,4128,Retiro,D,4152,Tigre,A,1066
33,4235,Tigre,D,4259,Retiro,A,1155
34,4407,Retiro,D,4431,Tigre,A,1231
35,4480,Tigre,D,4504,Retiro,A,999
36,4599,Retiro,D,4623,Tigre,A,954
37,4756,Tigre,D,4780,Retiro,A,1064
38,4880,Retiro,D,4904,Tigre,A,765
39,4970,Tigre,D,4994,Retiro,A,993
40,5127,Retiro,D,5151,Tigre,A,1212
41,5244,Tigre,D,5268,Retiro,A,698
42,5359,Retiro,D,5383,Tigre,A,583
43,5447,Tigre,D,5471,Retiro,A,1269
44,5550,Retiro,D,5574,Tigre,A,858
45,5683,Tigre,D,5707,Retiro,A,1133
46,5844,Retiro,D,5868,Tigre,A,967
47,5947,Tigre,D,5971,Retiro,A,879
48,6068,Retiro,D,6092,Tigre,A,1252
49,6178,Tigre,D,6202,Retiro,A,1167
50,6290,Retiro,D,6314,Tigre,A,751
51,6415,Tigre,D,6439,Retiro,A,1093
52,6536,Retiro,D,6560,Tigre,A,737
53,6634,Tigre,D,6658,Retiro,A,1090
54,6773,Retiro,D,6797,Tigre,A,1025
55,6909,Tigre,D,6933,Retiro,A,1280
56,7012,Retiro,D,7036,Tigre,A,723
57,7145,Tigre,D,7169,Retiro,A,1065
58,7260,Retiro,D,7284,Tigre,A,1324
59,7376,Tigre,D,7400,Retiro,A,1047
60,7481,Retiro,D,7505,Tigre,A,1076
61,7636,Tigre,D,7660,Retiro,A,828
62,7744,Retiro,D,7768,Tigre,A,1239
63,7883,Tigre,D,7907,Retiro,A,1241
64,8001,Retiro,D,8025,Tigre,A,1111
65,8129,Tigre,D,8153,Retiro,A,1407
66,8207,Retiro,D,8231,Tigre,A,1242
67,8336,Tigre,D,8360,Retiro,A,839
68,8442,Retiro,D,8466,Tigre,A,1174
69,8590,Tigre,D,8614,Retiro,A,1136
70,8676,Retiro,D,8700,Tigre,A,697
71,8795,Tigre,D,8819,Retiro,A,878
72,8929,Retiro,D,8953,Tigre,A,1132
73,9063,Tigre,D,9087,Retiro,A,927
74,9199,Retiro,D,9223,Tigre,A,943
75,9304,Tigre,D,9328,Retiro,A,1083
76,9390,Retiro,D,9414,Tigre,A,1405
77,9532,Tigre,D,9556,Retiro,A,1196
78,9668,Retiro,D,9692,Tigre,A,1109
79,9771,Tigre,D,9795,Retiro,A,1200
80,9903,Retiro,D,9927,Tigre,A,1156
81,10014,Tigre,D,10038,Retiro,A,1094
82,10167,Retiro,D,10191,Tigre,A,835
83,10274,Tigre,D,10298,Retiro,A,1067
84,10390,Retiro,D,10414,Tigre,A,981
85,10477,Tigre,D,10501,Retiro,A,805
86,10597,Retiro,D,10621,Tigre,A,747
87,10762,Tigre,D,10786,Retiro,A,1294
88,10841,Retiro,D,10865,Tigre,A,906
89,10969,Tigre,D,10993,Retiro,A,950
90,11083,Retiro,D,11107,Tigre,A,1025
91,11226,Tigre,D,11250,Retiro,A,896
92,11311,Retiro,D,11335,Tigre,A,904
93,11437,Tigre,D,11461,Retiro,A,1202
94,11587,Retiro,D,11611,Tigre,A,1359
95,11695,Tigre,D,11719,Retiro,A,1100
96,11837,Retiro,D,11861,Tigre,A,1405
97,11961,Tigre,D,11985,Retiro,A,778
98,12052,Retiro,D,12076,Tigre,A,1088
99,12195,Tigre,D,12219,Retiro,A,955
100,12297,Retiro,D,12321,Tigre,A,607
101,12442,Tigre,D,12466,Retiro,A,824
102,12534,Retiro,D,12558,Tigre,A,1086
103,12636,Tigre,D,12660,Retiro,A,909
104,12777,Retiro,D,12801,Tigre,A,1069
105,12910,Tigre,D,12934,Retiro,A,1066
106,13011,Retiro,D,13035,Tigre,A,998
107,13143,Tigre,D,13167,Retiro,A,1203
108,13279,Retiro,D,13303,Tigre,A,1077
109,13387,Tigre,D,13411,Retiro,A,1205
110,13500,Retiro,D,13524,Tigre,A,1185
111,13613,Tigre,D,13637,Retiro,A,788
112,13737,Retiro,D,13761,Tigre,A,1211
113,13869,Tigre,D,13893,Retiro,A,982
114,13981,Retiro,D,14005,Tigre,A,889
115,14124,Tigre,D,14148,Retiro,A,932
116,14208,Retiro,D,14232,Tigre,A,790
117,14351,Tigre,D,14375,Retiro,A,1005
118,14486,Retiro,D,14510,Tigre,A,379
119,14561,Tigre,D,14585,Retiro,A,1275
120,14727,Retiro,D,14751,Tigre,A,732
121,14821,Tigre,D,14845,Retiro,A,1183
122,14914,Retiro,D,14938,Tigre,A,784
123,15046,Tigre,D,15070,Retiro,A,1101
124,15193,Retiro,D,15217,Tigre,A,850
125,15314,Tigre,D,15338,Retiro,A,1193
126,15443,Retiro,D,15467,Tigre,A,1371
127,15525,Tigre,D,15549,Retiro,A,1007
